BenchmarkTable Execution Times
Loading required package: tcltk
    scenario   magnitude unit weight weighted_magnitude      AllParameters
1          1 18804421794   ns      1        18804421794  n=10000\ntype=CPU
2          1 22348446507   ns      1        22348446507  n=10000\ntype=CPU
3          1 17885886482   ns      1        17885886482  n=10000\ntype=CPU
4          1 19882182903   ns      1        19882182903  n=10000\ntype=CPU
5          2  3824730507   ns      1         3824730507  n=10000\ntype=GPU
6          2  4501405509   ns      1         4501405509  n=10000\ntype=GPU
7          2  5821507370   ns      1         5821507370  n=10000\ntype=GPU
8          2  5936948911   ns      1         5936948911  n=10000\ntype=GPU
9          2  3800646939   ns      1         3800646939  n=10000\ntype=GPU
10         3 18017465312   ns      1        18017465312  n=20000\ntype=CPU
11         3 21992046657   ns      1        21992046657  n=20000\ntype=CPU
12         3 17892559235   ns      1        17892559235  n=20000\ntype=CPU
13         3 17955156378   ns      1        17955156378  n=20000\ntype=CPU
14         3 25867591838   ns      1        25867591838  n=20000\ntype=CPU
15         4  6337590629   ns      1         6337590629  n=20000\ntype=GPU
16         4  5827329625   ns      1         5827329625  n=20000\ntype=GPU
17         4  5892772030   ns      1         5892772030  n=20000\ntype=GPU
18         4  6342695734   ns      1         6342695734  n=20000\ntype=GPU
19         4  5925684728   ns      1         5925684728  n=20000\ntype=GPU
20         5 18513112518   ns      1        18513112518  n=40000\ntype=CPU
21         5 22079940231   ns      1        22079940231  n=40000\ntype=CPU
22         5 26769811398   ns      1        26769811398  n=40000\ntype=CPU
23         5 21239531879   ns      1        21239531879  n=40000\ntype=CPU
24         5 21967321256   ns      1        21967321256  n=40000\ntype=CPU
25         6  5869543629   ns      1         5869543629  n=40000\ntype=GPU
26         6  5859531359   ns      1         5859531359  n=40000\ntype=GPU
27         6  6301722438   ns      1         6301722438  n=40000\ntype=GPU
28         6  5875711911   ns      1         5875711911  n=40000\ntype=GPU
29         6  5839941890   ns      1         5839941890  n=40000\ntype=GPU
30         7 23851745583   ns      1        23851745583  n=60000\ntype=CPU
31         7 20396250098   ns      1        20396250098  n=60000\ntype=CPU
32         7 25755063817   ns      1        25755063817  n=60000\ntype=CPU
33         8  6340769298   ns      1         6340769298  n=60000\ntype=GPU
34         8  5853389046   ns      1         5853389046  n=60000\ntype=GPU
35         8  6309857738   ns      1         6309857738  n=60000\ntype=GPU
36         8  5868907861   ns      1         5868907861  n=60000\ntype=GPU
37         8  5923337003   ns      1         5923337003  n=60000\ntype=GPU
38         9 27985909985   ns      1        27985909985  n=80000\ntype=CPU
39         9 22052335878   ns      1        22052335878  n=80000\ntype=CPU
40         9 25995775399   ns      1        25995775399  n=80000\ntype=CPU
41         9 17944557768   ns      1        17944557768  n=80000\ntype=CPU
42         9 25896411326   ns      1        25896411326  n=80000\ntype=CPU
43        10  5886555765   ns      1         5886555765  n=80000\ntype=GPU
44        10  5809669530   ns      1         5809669530  n=80000\ntype=GPU
45        10  5877994699   ns      1         5877994699  n=80000\ntype=GPU
46        10  6352407079   ns      1         6352407079  n=80000\ntype=GPU
47        10  5902567581   ns      1         5902567581  n=80000\ntype=GPU
48        11 25995906522   ns      1        25995906522 n=100000\ntype=CPU
49        11 22002740737   ns      1        22002740737 n=100000\ntype=CPU
50        11 28489066381   ns      1        28489066381 n=100000\ntype=CPU
51        11 21953711629   ns      1        21953711629 n=100000\ntype=CPU
52        11 32051651144   ns      1        32051651144 n=100000\ntype=CPU
53        12  5841078899   ns      1         5841078899 n=100000\ntype=GPU
54        12  5832820478   ns      1         5832820478 n=100000\ntype=GPU
55        12  5907451648   ns      1         5907451648 n=100000\ntype=GPU
56        12  6349744668   ns      1         6349744668 n=100000\ntype=GPU
57        12  5901577016   ns      1         5901577016 n=100000\ntype=GPU
58        13 32046597070   ns      1        32046597070 n=120000\ntype=CPU
59        13 32125249425   ns      1        32125249425 n=120000\ntype=CPU
60        13 23883859393   ns      1        23883859393 n=120000\ntype=CPU
61        13 26225494458   ns      1        26225494458 n=120000\ntype=CPU
62        13 27997395320   ns      1        27997395320 n=120000\ntype=CPU
63        14  6355129002   ns      1         6355129002 n=120000\ntype=GPU
64        14  7852779523   ns      1         7852779523 n=120000\ntype=GPU
65        14  7935544378   ns      1         7935544378 n=120000\ntype=GPU
66        14  5825973490   ns      1         5825973490 n=120000\ntype=GPU
67        14  6381150465   ns      1         6381150465 n=120000\ntype=GPU
68        15 35960993324   ns      1        35960993324 n=140000\ntype=CPU
69        15 23962639089   ns      1        23962639089 n=140000\ntype=CPU
70        15 25952859080   ns      1        25952859080 n=140000\ntype=CPU
71        15 26003395806   ns      1        26003395806 n=140000\ntype=CPU
72        15 36146488022   ns      1        36146488022 n=140000\ntype=CPU
73        16  7814717837   ns      1         7814717837 n=140000\ntype=GPU
74        16  6305405955   ns      1         6305405955 n=140000\ntype=GPU
75        16  7906681779   ns      1         7906681779 n=140000\ntype=GPU
76        16  5829401577   ns      1         5829401577 n=140000\ntype=GPU
77        16  7924511558   ns      1         7924511558 n=140000\ntype=GPU
78        17 28742491466   ns      1        28742491466 n=160000\ntype=CPU
79        17 31123545956   ns      1        31123545956 n=160000\ntype=CPU
80        17 32764656694   ns      1        32764656694 n=160000\ntype=CPU
81        17 28360802604   ns      1        28360802604 n=160000\ntype=CPU
82        17 27970427319   ns      1        27970427319 n=160000\ntype=CPU
83        18  7864388325   ns      1         7864388325 n=160000\ntype=GPU
84        18  7807881615   ns      1         7807881615 n=160000\ntype=GPU
85        18  8380824487   ns      1         8380824487 n=160000\ntype=GPU
86        18  7817419592   ns      1         7817419592 n=160000\ntype=GPU
87        18  7912575095   ns      1         7912575095 n=160000\ntype=GPU
88        19 30081122146   ns      1        30081122146 n=180000\ntype=CPU
89        19 29934245824   ns      1        29934245824 n=180000\ntype=CPU
90        19 34033993837   ns      1        34033993837 n=180000\ntype=CPU
91        19 33995144410   ns      1        33995144410 n=180000\ntype=CPU
92        19 24060164466   ns      1        24060164466 n=180000\ntype=CPU
93        20  8358926705   ns      1         8358926705 n=180000\ntype=GPU
94        20  7841859866   ns      1         7841859866 n=180000\ntype=GPU
95        20  7895600285   ns      1         7895600285 n=180000\ntype=GPU
96        20  7870529705   ns      1         7870529705 n=180000\ntype=GPU
97        20  8439221707   ns      1         8439221707 n=180000\ntype=GPU
98        21 32118264851   ns      1        32118264851 n=200000\ntype=CPU
99        21 30376477787   ns      1        30376477787 n=200000\ntype=CPU
100       22  8353307944   ns      1         8353307944 n=200000\ntype=GPU
101       22  7856102252   ns      1         7856102252 n=200000\ntype=GPU
102       22  7866943448   ns      1         7866943448 n=200000\ntype=GPU
103       23 30861229378   ns      1        30861229378 n=220000\ntype=CPU
104       23 29980594589   ns      1        29980594589 n=220000\ntype=CPU
105       23 34097322588   ns      1        34097322588 n=220000\ntype=CPU
106       24  8332690099   ns      1         8332690099 n=220000\ntype=GPU
107       24  7815468653   ns      1         7815468653 n=220000\ntype=GPU
108       24  7869291259   ns      1         7869291259 n=220000\ntype=GPU
