BenchmarkTable Execution Times
Loading required package: tcltk
    scenario    magnitude unit weight weighted_magnitude      AllParameters
1          1   9899194435   ns      1         9899194435  n=10000\ntype=CPU
2          1   7869807683   ns      1         7869807683  n=10000\ntype=CPU
3          1   8289203069   ns      1         8289203069  n=10000\ntype=CPU
4          1   9862861826   ns      1         9862861826  n=10000\ntype=CPU
5          1   9811501120   ns      1         9811501120  n=10000\ntype=CPU
6          2   7839102634   ns      1         7839102634  n=10000\ntype=GPU
7          2   6331933189   ns      1         6331933189  n=10000\ntype=GPU
8          2   7858191447   ns      1         7858191447  n=10000\ntype=GPU
9          2   5859614646   ns      1         5859614646  n=10000\ntype=GPU
10         2   6363850043   ns      1         6363850043  n=10000\ntype=GPU
11         3  13915280898   ns      1        13915280898  n=20000\ntype=CPU
12         3  13905185112   ns      1        13905185112  n=20000\ntype=CPU
13         3  13863880085   ns      1        13863880085  n=20000\ntype=CPU
14         3  14387167629   ns      1        14387167629  n=20000\ntype=CPU
15         3  13874086265   ns      1        13874086265  n=20000\ntype=CPU
16         4   9828408187   ns      1         9828408187  n=20000\ntype=GPU
17         4   7862427596   ns      1         7862427596  n=20000\ntype=GPU
18         4   8411729098   ns      1         8411729098  n=20000\ntype=GPU
19         4   7836338455   ns      1         7836338455  n=20000\ntype=GPU
20         4   9877871966   ns      1         9877871966  n=20000\ntype=GPU
21         5  23980290936   ns      1        23980290936  n=40000\ntype=CPU
22         5  23979019116   ns      1        23979019116  n=40000\ntype=CPU
23         5  21860964488   ns      1        21860964488  n=40000\ntype=CPU
24         5  22345073658   ns      1        22345073658  n=40000\ntype=CPU
25         5  23936670047   ns      1        23936670047  n=40000\ntype=CPU
26         6  11903033461   ns      1        11903033461  n=40000\ntype=GPU
27         6  11880838569   ns      1        11880838569  n=40000\ntype=GPU
28         6  12370379191   ns      1        12370379191  n=40000\ntype=GPU
29         6  11909814480   ns      1        11909814480  n=40000\ntype=GPU
30         6  11836541278   ns      1        11836541278  n=40000\ntype=GPU
31         7  32069404087   ns      1        32069404087  n=60000\ntype=CPU
32         7  32021913769   ns      1        32021913769  n=60000\ntype=CPU
33         7  34027315537   ns      1        34027315537  n=60000\ntype=CPU
34         7  32247606517   ns      1        32247606517  n=60000\ntype=CPU
